Name,Email,Phone,Department,Designation,Day,Hours
Amy Gilliam,ag@gmail.com,7418529630,Management,General Manager,"[""06/01/2016"", 6]","[""07/01/2016"", 5]","[""08/01/2016"", 6]","[""09/01/2016"", 5]","[""10/01/2016"", 7]","[""11/01/2016"", 6]","[""12/01/2016"", 8]","[""13/01/2016"", 7]","[""14/01/2016"", 8]","[""15/01/2016"", 8]","[""16/01/2016"", 5]","[""17/01/2016"", 5]","[""18/01/2016"", 5]","[""19/01/2016"", 6]","[""20/01/2016"", 5]","[""21/01/2016"", 7]","[""22/01/2016"", 6]","[""23/01/2016"", 8]","[""24/01/2016"", 7]","[""25/01/2016"", 8]"
Rhiannon Campos,rc@gmail.com,9632587410,Sales,Store Manager,"[""06/01/2016"", 7]","[""07/01/2016"", 8]","[""08/01/2016"", 7]","[""09/01/2016"", 5]","[""10/01/2016"", 8]","[""11/01/2016"", 6]","[""12/01/2016"", 8]","[""13/01/2016"", 5]","[""14/01/2016"", 8]","[""15/01/2016"", 5]","[""16/01/2016"", 8]","[""17/01/2016"", 8]","[""18/01/2016"", 8]","[""19/01/2016"", 7]","[""20/01/2016"", 8]","[""21/01/2016"", 7]","[""22/01/2016"", 6]","[""23/01/2016"", 7]","[""24/01/2016"", 8]","[""25/01/2016"", 8]"
Yardley Hardy,yh@gmail.com,8547123690,Accounting,Senior Accountant,"[""06/01/2016"", 5]","[""07/01/2016"", 5]","[""08/01/2016"", 7]","[""09/01/2016"", 6]","[""10/01/2016"", 6]","[""11/01/2016"", 7]","[""12/01/2016"", 6]","[""13/01/2016"", 6]","[""14/01/2016"", 5]","[""15/01/2016"", 8]","[""16/01/2016"", 7]","[""17/01/2016"", 6]","[""18/01/2016"", 6]","[""19/01/2016"", 5]","[""20/01/2016"", 7]","[""21/01/2016"", 5]","[""22/01/2016"", 8]","[""23/01/2016"", 8]","[""24/01/2016"", 7]","[""25/01/2016"", 8]"
Salvador Faulkner,sf@gmail.com,4157896320,Accounting,Accounting Executive,"[""06/01/2016"", 5]","[""07/01/2016"", 7]","[""08/01/2016"", 5]","[""09/01/2016"", 8]","[""10/01/2016"", 7]","[""11/01/2016"", 7]","[""12/01/2016"", 7]","[""13/01/2016"", 7]","[""14/01/2016"", 8]","[""15/01/2016"", 6]","[""16/01/2016"", 7]","[""17/01/2016"", 5]","[""18/01/2016"", 5]","[""19/01/2016"", 5]","[""20/01/2016"", 8]","[""21/01/2016"", 7]","[""22/01/2016"", 8]","[""23/01/2016"", 6]","[""24/01/2016"", 8]","[""25/01/2016"", 5]"
Reuben Kirby,rk@gmail.com,5124789623,Sales,Sales Associate,"[""06/01/2016"", 6]","[""07/01/2016"", 5]","[""08/01/2016"", 8]","[""09/01/2016"", 7]","[""10/01/2016"", 5]","[""11/01/2016"", 8]","[""12/01/2016"", 7]","[""13/01/2016"", 5]","[""14/01/2016"", 7]","[""15/01/2016"", 6]","[""16/01/2016"", 7]","[""17/01/2016"", 8]","[""18/01/2016"", 7]","[""19/01/2016"", 6]","[""20/01/2016"", 7]","[""21/01/2016"", 7]","[""22/01/2016"", 7]","[""23/01/2016"", 7]","[""24/01/2016"", 8]","[""25/01/2016"", 6]"
Renee Allen,ra@gmail.com,41257896332,Accounting,Accounting Specialist,"[""06/01/2016"", 5]","[""07/01/2016"", 5]","[""08/01/2016"", 6]","[""09/01/2016"", 6]","[""10/01/2016"", 5]","[""11/01/2016"", 7]","[""12/01/2016"", 8]","[""13/01/2016"", 5]","[""14/01/2016"", 8]","[""15/01/2016"", 8]","[""16/01/2016"", 5]","[""17/01/2016"", 6]","[""18/01/2016"", 7]","[""19/01/2016"", 7]","[""20/01/2016"", 8]","[""21/01/2016"", 7]","[""22/01/2016"", 6]","[""23/01/2016"", 8]","[""24/01/2016"", 7]","[""25/01/2016"", 7]"
Bevis Vaughan,bv@gmail.com,7410258963,Marketing,Marketing Director,"[""06/01/2016"", 6]","[""07/01/2016"", 6]","[""08/01/2016"", 7]","[""09/01/2016"", 8]","[""10/01/2016"", 5]","[""11/01/2016"", 8]","[""12/01/2016"", 5]","[""13/01/2016"", 7]","[""14/01/2016"", 7]","[""15/01/2016"", 8]","[""16/01/2016"", 7]","[""17/01/2016"", 6]","[""18/01/2016"", 7]","[""19/01/2016"", 7]","[""20/01/2016"", 8]","[""21/01/2016"", 8]","[""22/01/2016"", 5]","[""23/01/2016"", 5]","[""24/01/2016"", 5]","[""25/01/2016"", 5]"
Armando Edwards,ae@gmail.com,2054789631,Sales,Assistant Store Manager,"[""06/01/2016"", 8]","[""07/01/2016"", 5]","[""08/01/2016"", 5]","[""09/01/2016"", 8]","[""10/01/2016"", 6]","[""11/01/2016"", 6]","[""12/01/2016"", 6]","[""13/01/2016"", 7]","[""14/01/2016"", 6]","[""15/01/2016"", 5]","[""16/01/2016"", 6]","[""17/01/2016"", 8]","[""18/01/2016"", 5]","[""19/01/2016"", 8]","[""20/01/2016"", 7]","[""21/01/2016"", 6]","[""22/01/2016"", 6]","[""23/01/2016"", 6]","[""24/01/2016"", 5]","[""25/01/2016"", 7]"
Aileen Solis,as@gmail.com,5147896203,Marketing,Associate Marketing Director,"[""06/01/2016"", 6]","[""07/01/2016"", 5]","[""08/01/2016"", 6]","[""09/01/2016"", 5]","[""10/01/2016"", 6]","[""11/01/2016"", 6]","[""12/01/2016"", 5]","[""13/01/2016"", 8]","[""14/01/2016"", 5]","[""15/01/2016"", 7]","[""16/01/2016"", 6]","[""17/01/2016"", 6]","[""18/01/2016"", 6]","[""19/01/2016"", 8]","[""20/01/2016"", 6]","[""21/01/2016"", 6]","[""22/01/2016"", 7]","[""23/01/2016"", 8]","[""24/01/2016"", 5]","[""25/01/2016"", 8]"
Cleo Smith,cs@gmail.com,3201478596,Accounting,Billing and Collection,"[""06/01/2016"", 6]","[""07/01/2016"", 5]","[""08/01/2016"", 6]","[""09/01/2016"", 5]","[""10/01/2016"", 7]","[""11/01/2016"", 6]","[""12/01/2016"", 6]","[""13/01/2016"", 6]","[""14/01/2016"", 5]","[""15/01/2016"", 7]","[""16/01/2016"", 6]","[""17/01/2016"", 7]","[""18/01/2016"", 8]","[""19/01/2016"", 6]","[""20/01/2016"", 8]","[""21/01/2016"", 7]","[""22/01/2016"", 8]","[""23/01/2016"", 5]","[""24/01/2016"", 5]","[""25/01/2016"", 7]"
